CORBA POTÈNCIA fontajau febrer-juliol 2023
08/02/2023 14:00 115 kW (estiu=False)
08/02/2023 15:00 39 kW (estiu=False)
08/02/2023 16:00 30 kW (estiu=False)
08/02/2023 17:00 33 kW (estiu=False)
08/02/2023 18:00 65 kW (estiu=False)
08/02/2023 19:00 93 kW (estiu=False)
08/02/2023 20:00 91 kW (estiu=False)
08/02/2023 21:00 87 kW (estiu=False)
08/02/2023 22:00 78 kW (estiu=False)
08/02/2023 23:00 56 kW (estiu=False)
09/02/2023 00:00 42 kW (estiu=False)
09/02/2023 01:00 24 kW (estiu=False)
09/02/2023 02:00 23 kW (estiu=False)
09/02/2023 03:00 23 kW (estiu=False)
09/02/2023 04:00 23 kW (estiu=False)
09/02/2023 05:00 23 kW (estiu=False)
09/02/2023 06:00 23 kW (estiu=False)
09/02/2023 07:00 25 kW (estiu=False)
09/02/2023 08:00 42 kW (estiu=False)
09/02/2023 09:00 40 kW (estiu=False)
09/02/2023 10:00 51 kW (estiu=False)
09/02/2023 11:00 110 kW (estiu=False)
09/02/2023 12:00 146 kW (estiu=False)
09/02/2023 13:00 151 kW (estiu=False)
09/02/2023 14:00 110 kW (estiu=False)
09/02/2023 15:00 53 kW (estiu=False)
09/02/2023 16:00 50 kW (estiu=False)
09/02/2023 17:00 54 kW (estiu=False)
09/02/2023 18:00 92 kW (estiu=False)
09/02/2023 19:00 108 kW (estiu=False)
09/02/2023 20:00 117 kW (estiu=False)
09/02/2023 21:00 104 kW (estiu=False)
09/02/2023 22:00 72 kW (estiu=False)
09/02/2023 23:00 56 kW (estiu=False)
10/02/2023 00:00 44 kW (estiu=False)
10/02/2023 01:00 26 kW (estiu=False)
10/02/2023 02:00 25 kW (estiu=False)
10/02/2023 03:00 24 kW (estiu=False)
10/02/2023 04:00 25 kW (estiu=False)
10/02/2023 05:00 24 kW (estiu=False)
10/02/2023 06:00 25 kW (estiu=False)
10/02/2023 07:00 25 kW (estiu=False)
10/02/2023 08:00 43 kW (estiu=False)
10/02/2023 09:00 46 kW (estiu=False)
10/02/2023 10:00 47 kW (estiu=False)
10/02/2023 11:00 67 kW (estiu=False)
10/02/2023 12:00 113 kW (estiu=False)
10/02/2023 13:00 158 kW (estiu=False)
10/02/2023 14:00 133 kW (estiu=False)
10/02/2023 15:00 49 kW (estiu=False)
10/02/2023 16:00 42 kW (estiu=False)
10/02/2023 17:00 50 kW (estiu=False)
10/02/2023 18:00 65 kW (estiu=False)
10/02/2023 19:00 80 kW (estiu=False)
10/02/2023 20:00 80 kW (estiu=False)
10/02/2023 21:00 81 kW (estiu=False)
10/02/2023 22:00 75 kW (estiu=False)
10/02/2023 23:00 59 kW (estiu=False)
11/02/2023 00:00 44 kW (estiu=False)
11/02/2023 01:00 23 kW (estiu=False)
11/02/2023 02:00 23 kW (estiu=False)
11/02/2023 03:00 22 kW (estiu=False)
11/02/2023 04:00 23 kW (estiu=False)
11/02/2023 05:00 23 kW (estiu=False)
11/02/2023 06:00 23 kW (estiu=False)
11/02/2023 07:00 24 kW (estiu=False)
11/02/2023 08:00 48 kW (estiu=False)
11/02/2023 09:00 38 kW (estiu=False)
11/02/2023 10:00 46 kW (estiu=False)
11/02/2023 11:00 101 kW (estiu=False)
11/02/2023 12:00 144 kW (estiu=False)
11/02/2023 13:00 119 kW (estiu=False)
11/02/2023 14:00 35 kW (estiu=False)
11/02/2023 15:00 38 kW (estiu=False)
11/02/2023 16:00 48 kW (estiu=False)
11/02/2023 17:00 50 kW (estiu=False)
11/02/2023 18:00 58 kW (estiu=False)
11/02/2023 19:00 141 kW (estiu=False)
11/02/2023 20:00 220 kW (estiu=False)
11/02/2023 21:00 246 kW (estiu=False)
11/02/2023 22:00 242 kW (estiu=False)
11/02/2023 23:00 182 kW (estiu=False)
12/02/2023 00:00 94 kW (estiu=False)
12/02/2023 01:00 57 kW (estiu=False)
12/02/2023 02:00 37 kW (estiu=False)
12/02/2023 03:00 24 kW (estiu=False)
12/02/2023 04:00 22 kW (estiu=False)
12/02/2023 05:00 25 kW (estiu=False)
12/02/2023 06:00 50 kW (estiu=False)
12/02/2023 07:00 51 kW (estiu=False)
12/02/2023 08:00 66 kW (estiu=False)
12/02/2023 09:00 61 kW (estiu=False)
12/02/2023 10:00 55 kW (estiu=False)
12/02/2023 11:00 101 kW (estiu=False)
12/02/2023 12:00 123 kW (estiu=False)
12/02/2023 13:00 123 kW (estiu=False)
12/02/2023 14:00 121 kW (estiu=False)
12/02/2023 15:00 75 kW (estiu=False)
12/02/2023 16:00 108 kW (estiu=False)
12/02/2023 17:00 158 kW (estiu=False)
12/02/2023 18:00 160 kW (estiu=False)
12/02/2023 19:00 161 kW (estiu=False)
12/02/2023 20:00 142 kW (estiu=False)
12/02/2023 21:00 104 kW (estiu=False)
12/02/2023 22:00 60 kW (estiu=False)
12/02/2023 23:00 40 kW (estiu=False)
13/02/2023 00:00 31 kW (estiu=False)
13/02/2023 01:00 27 kW (estiu=False)
13/02/2023 02:00 27 kW (estiu=False)
13/02/2023 03:00 27 kW (estiu=False)
13/02/2023 04:00 27 kW (estiu=False)
13/02/2023 05:00 28 kW (estiu=False)
13/02/2023 06:00 27 kW (estiu=False)
13/02/2023 07:00 27 kW (estiu=False)
13/02/2023 08:00 54 kW (estiu=False)
13/02/2023 09:00 51 kW (estiu=False)
13/02/2023 10:00 70 kW (estiu=False)
13/02/2023 11:00 141 kW (estiu=False)
13/02/2023 12:00 141 kW (estiu=False)
13/02/2023 13:00 112 kW (estiu=False)
13/02/2023 14:00 86 kW (estiu=False)
13/02/2023 15:00 61 kW (estiu=False)
13/02/2023 16:00 52 kW (estiu=False)
13/02/2023 17:00 45 kW (estiu=False)
13/02/2023 18:00 76 kW (estiu=False)
13/02/2023 19:00 93 kW (estiu=False)
13/02/2023 20:00 108 kW (estiu=False)
13/02/2023 21:00 95 kW (estiu=False)
13/02/2023 22:00 71 kW (estiu=False)
13/02/2023 23:00 42 kW (estiu=False)
14/02/2023 00:00 37 kW (estiu=False)
14/02/2023 01:00 25 kW (estiu=False)
14/02/2023 02:00 24 kW (estiu=False)
14/02/2023 03:00 25 kW (estiu=False)
14/02/2023 04:00 25 kW (estiu=False)
14/02/2023 05:00 24 kW (estiu=False)
14/02/2023 06:00 25 kW (estiu=False)
14/02/2023 07:00 27 kW (estiu=False)
14/02/2023 08:00 50 kW (estiu=False)
14/02/2023 09:00 69 kW (estiu=False)
14/02/2023 10:00 125 kW (estiu=False)
14/02/2023 11:00 102 kW (estiu=False)
14/02/2023 12:00 104 kW (estiu=False)
14/02/2023 13:00 65 kW (estiu=False)
14/02/2023 14:00 58 kW (estiu=False)
14/02/2023 15:00 46 kW (estiu=False)
14/02/2023 16:00 95 kW (estiu=False)
14/02/2023 17:00 141 kW (estiu=False)
14/02/2023 18:00 96 kW (estiu=False)
14/02/2023 19:00 93 kW (estiu=False)
14/02/2023 20:00 103 kW (estiu=False)
14/02/2023 21:00 91 kW (estiu=False)
14/02/2023 22:00 68 kW (estiu=False)
14/02/2023 23:00 54 kW (estiu=False)
15/02/2023 00:00 39 kW (estiu=False)
15/02/2023 01:00 24 kW (estiu=False)
15/02/2023 02:00 24 kW (estiu=False)
15/02/2023 03:00 23 kW (estiu=False)
15/02/2023 04:00 24 kW (estiu=False)
15/02/2023 05:00 24 kW (estiu=False)
15/02/2023 06:00 23 kW (estiu=False)
15/02/2023 07:00 24 kW (estiu=False)
15/02/2023 08:00 41 kW (estiu=False)
15/02/2023 09:00 65 kW (estiu=False)
15/02/2023 10:00 143 kW (estiu=False)
15/02/2023 11:00 159 kW (estiu=False)
15/02/2023 12:00 159 kW (estiu=False)
15/02/2023 13:00 138 kW (estiu=False)
15/02/2023 14:00 93 kW (estiu=False)
15/02/2023 15:00 70 kW (estiu=False)
15/02/2023 16:00 52 kW (estiu=False)
15/02/2023 17:00 54 kW (estiu=False)
15/02/2023 18:00 75 kW (estiu=False)
15/02/2023 19:00 97 kW (estiu=False)
15/02/2023 20:00 110 kW (estiu=False)
15/02/2023 21:00 93 kW (estiu=False)
15/02/2023 22:00 76 kW (estiu=False)
15/02/2023 23:00 45 kW (estiu=False)
16/02/2023 00:00 36 kW (estiu=False)
16/02/2023 01:00 22 kW (estiu=False)
16/02/2023 02:00 23 kW (estiu=False)
16/02/2023 03:00 23 kW (estiu=False)
16/02/2023 04:00 22 kW (estiu=False)
16/02/2023 05:00 23 kW (estiu=False)
16/02/2023 06:00 23 kW (estiu=False)
16/02/2023 07:00 22 kW (estiu=False)
16/02/2023 08:00 40 kW (estiu=False)
16/02/2023 09:00 38 kW (estiu=False)
16/02/2023 10:00 45 kW (estiu=False)
16/02/2023 11:00 100 kW (estiu=False)
16/02/2023 12:00 126 kW (estiu=False)
16/02/2023 13:00 136 kW (estiu=False)
16/02/2023 14:00 108 kW (estiu=False)
16/02/2023 15:00 74 kW (estiu=False)
16/02/2023 16:00 60 kW (estiu=False)
16/02/2023 17:00 62 kW (estiu=False)
16/02/2023 18:00 73 kW (estiu=False)
16/02/2023 19:00 88 kW (estiu=False)
16/02/2023 20:00 100 kW (estiu=False)
16/02/2023 21:00 89 kW (estiu=False)
16/02/2023 22:00 70 kW (estiu=False)
16/02/2023 23:00 49 kW (estiu=False)
17/02/2023 00:00 40 kW (estiu=False)
17/02/2023 01:00 27 kW (estiu=False)
17/02/2023 02:00 23 kW (estiu=False)
17/02/2023 03:00 24 kW (estiu=False)
17/02/2023 04:00 24 kW (estiu=False)
17/02/2023 05:00 24 kW (estiu=False)
17/02/2023 06:00 23 kW (estiu=False)
17/02/2023 07:00 24 kW (estiu=False)
17/02/2023 08:00 41 kW (estiu=False)
17/02/2023 09:00 37 kW (estiu=False)
17/02/2023 10:00 68 kW (estiu=False)
17/02/2023 11:00 129 kW (estiu=False)
17/02/2023 12:00 107 kW (estiu=False)
17/02/2023 13:00 90 kW (estiu=False)
17/02/2023 14:00 66 kW (estiu=False)
17/02/2023 15:00 38 kW (estiu=False)
17/02/2023 16:00 40 kW (estiu=False)
17/02/2023 17:00 38 kW (estiu=False)
17/02/2023 18:00 55 kW (estiu=False)
17/02/2023 19:00 73 kW (estiu=False)
17/02/2023 20:00 83 kW (estiu=False)
17/02/2023 21:00 79 kW (estiu=False)
17/02/2023 22:00 79 kW (estiu=False)
17/02/2023 23:00 55 kW (estiu=False)
18/02/2023 00:00 42 kW (estiu=False)
18/02/2023 01:00 22 kW (estiu=False)
18/02/2023 02:00 23 kW (estiu=False)
18/02/2023 03:00 22 kW (estiu=False)
18/02/2023 04:00 23 kW (estiu=False)
18/02/2023 05:00 22 kW (estiu=False)
18/02/2023 06:00 23 kW (estiu=False)
18/02/2023 07:00 23 kW (estiu=False)
18/02/2023 08:00 35 kW (estiu=False)
18/02/2023 09:00 25 kW (estiu=False)
18/02/2023 10:00 61 kW (estiu=False)
18/02/2023 11:00 131 kW (estiu=False)
18/02/2023 12:00 95 kW (estiu=False)
18/02/2023 13:00 41 kW (estiu=False)
